LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
Y3ZDA7AKWL,35.0,95553.0,163072.0,561.0,12.0,2.0,20.84,36.0,0.7,Bachelor's,Part-time,Single,Yes,Yes,Auto,Yes,1.0
3O5LHZ92P3,56.0,126309.0,143682.0,809.0,34.0,2.0,13.87,12.0,0.35,PhD,Self-employed,Divorced,Yes,No,Other,No,0.0
P19JNUJKSV,54.0,91838.0,111802.0,577.0,22.0,1.0,8.93,24.0,0.76,Bachelor's,Full-time,Single,No,No,Auto,Yes,0.0
UFL7RWALAZ,29.0,62160.0,145261.0,341.0,1.0,4.0,3.88,24.0,0.59,High School,Part-time,Single,No,No,Business,No,0.0
DV8HDC41BA,38.0,136369.0,154316.0,629.0,115.0,2.0,5.14,36.0,0.61,PhD,Unemployed,Divorced,Yes,No,Home,No,0.0
X9R0H66A5L,32.0,17773.0,135065.0,446.0,52.0,1.0,14.77,24.0,0.15,PhD,Full-time,Divorced,Yes,Yes,Auto,No,1.0
ZD4G0475DW,65.0,55909.0,163281.0,315.0,71.0,3.0,3.97,36.0,0.37,PhD,Self-employed,Divorced,Yes,Yes,Home,No,0.0
6A4LPD0G5G,47.0,143292.0,209000.0,471.0,116.0,4.0,5.98,24.0,0.26,High School,Full-time,Divorced,Yes,No,Other,No,0.0
QWXKFCGJL9,61.0,38284.0,69341.0,575.0,45.0,1.0,19.1,24.0,0.58,Master's,Self-employed,Single,No,Yes,Other,Yes,0.0
8TTJJ3SVNC,25.0,74100.0,116341.0,790.0,115.0,2.0,24.47,36.0,0.28,Bachelor's,Full-time,Married,Yes,No,Education,No,0.0
C9ONN8515J,52.0,132011.0,36701.0,749.0,112.0,3.0,9.27,36.0,0.74,Bachelor's,Full-time,Single,No,No,Education,Yes,0.0
TOVQ3EC8EB,48.0,25043.0,130979.0,786.0,82.0,3.0,3.9,36.0,0.48,Master's,Part-time,Married,No,Yes,Auto,Yes,0.0
CWEMGK6C9Z,64.0,103522.0,132242.0,424.0,57.0,2.0,18.53,60.0,0.6,PhD,Full-time,Married,No,No,Auto,No,0.0
QH5B9VGY5H,21.0,26474.0,117383.0,662.0,79.0,1.0,12.0,48.0,0.65,Bachelor's,Unemployed,Single,Yes,Yes,Education,No,0.0
5Y5MRS91XQ,63.0,122651.0,224072.0,615.0,59.0,4.0,15.3,60.0,0.71,Master's,Part-time,Married,No,No,Business,No,0.0
IQQRJY4SC2,57.0,33268.0,182388.0,439.0,62.0,2.0,23.43,36.0,0.59,Master's,Unemployed,Married,No,No,Other,Yes,1.0
9V2Z91YP1P,40.0,57780.0,193380.0,312.0,68.0,4.0,24.65,24.0,0.18,High School,Full-time,Divorced,No,Yes,Home,No,1.0
7JD70UVBJ0,56.0,15034.0,68831.0,465.0,62.0,4.0,2.61,36.0,0.67,Bachelor's,Full-time,Single,No,No,Home,Yes,1.0
NO946NO40V,29.0,102840.0,21498.0,343.0,90.0,3.0,19.53,24.0,0.67,High School,Part-time,Married,No,Yes,Education,Yes,0.0
GNMVXN3LMK,21.0,93053.0,216756.0,833.0,40.0,4.0,13.77,12.0,0.19,PhD,Self-employed,Married,Yes,No,Other,No,0.0
CQU87DCL6X,35.0,51035.0,177390.0,521.0,103.0,4.0,19.58,12.0,0.4,Bachelor's,Unemployed,Divorced,No,Yes,Home,No,0.0
5H10YNJWG5,23.0,56486.0,206894.0,380.0,55.0,4.0,24.53,48.0,0.61,Bachelor's,Full-time,Divorced,Yes,No,Home,No,1.0
L64H8CZTA1,27.0,104204.0,158214.0,660.0,15.0,2.0,6.9,60.0,0.54,Bachelor's,Unemployed,Divorced,Yes,No,Other,Yes,0.0
7ZQ0VPQT6Y,50.0,133302.0,81544.0,812.0,11.0,2.0,10.55,48.0,0.73,Bachelor's,Part-time,Married,Yes,No,Home,Yes,0.0
I0MGL21UQ9,41.0,95987.0,221615.0,371.0,49.0,3.0,14.26,48.0,0.71,Master's,Part-time,Divorced,Yes,No,Home,No,0.0
F40C7EMGTZ,32.0,27287.0,216593.0,563.0,15.0,2.0,11.38,36.0,0.29,PhD,Full-time,Single,No,Yes,Education,No,0.0
04I5V7DMJA,57.0,111870.0,213033.0,542.0,81.0,1.0,14.34,48.0,0.21,High School,Part-time,Divorced,No,Yes,Other,No,0.0
7549BOZPXN,64.0,107246.0,91920.0,574.0,11.0,2.0,10.11,12.0,0.46,PhD,Part-time,Divorced,No,Yes,Business,Yes,0.0
EVPV8CWS4B,31.0,114220.0,116501.0,464.0,95.0,1.0,14.96,48.0,0.22,High School,Self-employed,Divorced,Yes,Yes,Auto,Yes,0.0
UIYJXJY4V7,19.0,69224.0,163719.0,515.0,60.0,1.0,13.62,36.0,0.16,Bachelor's,Self-employed,Married,No,No,Business,No,0.0
4GRPU5JCME,33.0,96985.0,202240.0,317.0,48.0,2.0,7.84,12.0,0.37,Master's,Self-employed,Single,Yes,Yes,Business,Yes,1.0
7KT9C1GQ7K,66.0,72368.0,120096.0,654.0,12.0,2.0,14.42,60.0,0.27,PhD,Self-employed,Married,No,Yes,Business,Yes,0.0
H6E7DR0HOG,46.0,141975.0,64160.0,337.0,112.0,3.0,19.47,48.0,0.44,Master's,Full-time,Married,No,Yes,Business,No,0.0
41P4SYJY37,61.0,94791.0,61240.0,839.0,75.0,1.0,19.12,24.0,0.67,High School,Full-time,Married,Yes,Yes,Auto,No,0.0
11XUSSM0UE,39.0,22087.0,104553.0,543.0,101.0,4.0,4.13,48.0,0.13,High School,Self-employed,Single,No,No,Education,Yes,1.0
4T46EUWCA2,30.0,106898.0,120175.0,594.0,13.0,3.0,14.74,12.0,0.42,Bachelor's,Unemployed,Married,Yes,No,Business,No,0.0
KGXGQT4C97,20.0,144074.0,120460.0,804.0,51.0,4.0,15.1,12.0,0.75,Bachelor's,Self-employed,Married,No,Yes,Education,No,0.0
Y4L1NIQVD7,42.0,78472.0,225405.0,407.0,76.0,3.0,12.81,60.0,0.19,PhD,Full-time,Divorced,Yes,No,Home,Yes,0.0
X0JHSKSNFZ,31.0,76283.0,236580.0,782.0,8.0,4.0,3.83,36.0,0.35,PhD,Unemployed,Married,Yes,No,Auto,Yes,1.0
3UZ5TOR207,39.0,117829.0,168702.0,800.0,118.0,2.0,3.11,24.0,0.27,Master's,Part-time,Married,Yes,Yes,Auto,Yes,0.0
R7YL3DHL6Q,25.0,134876.0,72482.0,736.0,12.0,1.0,20.05,36.0,0.42,Master's,Part-time,Divorced,Yes,Yes,Business,Yes,1.0
P9894EZEU9,68.0,20327.0,133755.0,499.0,64.0,1.0,10.64,24.0,0.51,High School,Self-employed,Single,No,No,Other,No,0.0
ZN7E38R3Q1,65.0,25914.0,50317.0,570.0,59.0,2.0,11.68,12.0,0.76,Bachelor's,Full-time,Single,No,No,Auto,Yes,0.0
A8I414YQOP,35.0,102919.0,137829.0,471.0,60.0,3.0,8.3,24.0,0.33,Bachelor's,Full-time,Single,Yes,No,Other,No,0.0
VHKDGKGBWW,25.0,42635.0,162046.0,493.0,92.0,1.0,24.17,48.0,0.25,PhD,Unemployed,Single,No,Yes,Auto,No,1.0
7TZISWN1DP,26.0,85973.0,138581.0,419.0,17.0,3.0,14.51,48.0,0.79,Bachelor's,Full-time,Divorced,No,No,Other,No,0.0
7L8GYB60KS,33.0,101412.0,217663.0,500.0,104.0,3.0,9.35,60.0,0.41,High School,Full-time,Married,No,Yes,Other,Yes,0.0
S6SGDSSPVQ,22.0,15763.0,249875.0,621.0,57.0,2.0,17.41,36.0,0.38,High School,Part-time,Divorced,Yes,No,Auto,Yes,1.0
DX191HX6FM,25.0,124561.0,6188.0,677.0,117.0,1.0,16.92,60.0,0.42,Master's,Full-time,Single,No,Yes,Home,No,0.0
JUX8QTMZCP,50.0,71078.0,72506.0,771.0,20.0,4.0,19.44,36.0,0.53,Master's,Part-time,Divorced,Yes,Yes,Business,No,1.0
O1KULEHY7I,68.0,23870.0,201924.0,490.0,61.0,1.0,21.32,24.0,0.7,PhD,Full-time,Divorced,No,No,Home,Yes,0.0
RXB7LK1Z5I,67.0,43671.0,114607.0,513.0,67.0,4.0,11.42,12.0,0.68,High School,Self-employed,Single,No,No,Home,No,0.0
A60U56NH5H,27.0,109722.0,14258.0,790.0,96.0,1.0,13.61,48.0,0.62,Master's,Full-time,Single,Yes,Yes,Business,No,0.0
X6U70IJW77,46.0,17290.0,61000.0,806.0,27.0,2.0,4.78,48.0,0.17,High School,Unemployed,Single,Yes,No,Education,No,0.0
8I1Q4V9ZZU,46.0,134859.0,57361.0,756.0,32.0,2.0,12.33,60.0,0.35,Master's,Unemployed,Married,Yes,No,Home,No,0.0
Y7QAEDZXWU,18.0,134628.0,217629.0,805.0,87.0,2.0,23.19,12.0,0.6,Master's,Part-time,Divorced,No,Yes,Auto,Yes,1.0
C1FQLYLJA1,47.0,97371.0,131803.0,600.0,2.0,4.0,17.67,60.0,0.28,Master's,Part-time,Divorced,Yes,No,Business,Yes,0.0
RCFT7HREV9,40.0,141949.0,167145.0,418.0,23.0,4.0,10.36,36.0,0.52,Master's,Self-employed,Divorced,Yes,Yes,Auto,Yes,0.0
0K4Q440006,63.0,56764.0,182771.0,830.0,65.0,3.0,15.2,48.0,0.17,Bachelor's,Full-time,Single,No,Yes,Other,No,0.0
G1X25HZ6SY,18.0,29588.0,207522.0,784.0,107.0,3.0,17.09,60.0,0.48,Master's,Full-time,Single,No,Yes,Education,No,1.0
VRBUUBZWPO,23.0,132244.0,110142.0,624.0,24.0,2.0,18.03,60.0,0.19,Bachelor's,Part-time,Single,Yes,No,Other,No,1.0
P2OPK7QAEV,60.0,70089.0,174247.0,349.0,2.0,4.0,14.28,60.0,0.36,PhD,Part-time,Single,Yes,Yes,Education,Yes,1.0
9SNTC8IYQU,65.0,132900.0,161594.0,345.0,27.0,4.0,3.28,48.0,0.67,Master's,Unemployed,Married,Yes,Yes,Other,No,0.0
945M67K9Q8,51.0,140556.0,129466.0,372.0,51.0,1.0,18.73,24.0,0.82,Bachelor's,Full-time,Single,Yes,No,Education,No,0.0
EV9BLUX0IV,20.0,48985.0,191464.0,632.0,92.0,1.0,16.59,60.0,0.75,Bachelor's,Part-time,Married,No,No,Business,No,1.0
B2B2IU3SLM,65.0,59193.0,198228.0,530.0,67.0,3.0,2.14,60.0,0.73,Bachelor's,Part-time,Married,Yes,No,Home,Yes,0.0
41RDMIVR0Q,30.0,131513.0,30947.0,577.0,6.0,4.0,20.71,24.0,0.28,High School,Full-time,Divorced,Yes,Yes,Home,Yes,0.0
S1TQ42ROXX,64.0,78391.0,144194.0,375.0,82.0,2.0,22.89,60.0,0.5,PhD,Part-time,Married,No,No,Education,No,0.0
FPYIOKJZUG,67.0,52048.0,176111.0,505.0,30.0,4.0,14.8,60.0,0.48,High School,Part-time,Single,No,Yes,Home,Yes,0.0
NNBP6EZE0V,31.0,65635.0,103172.0,506.0,65.0,4.0,22.78,12.0,0.47,High School,Part-time,Married,Yes,Yes,Education,No,1.0
K3K07MNP9O,66.0,103570.0,121671.0,315.0,19.0,1.0,2.36,36.0,0.84,PhD,Part-time,Single,Yes,No,Education,No,0.0
509O23K4WG,63.0,29367.0,77821.0,405.0,3.0,1.0,4.14,60.0,0.56,Master's,Unemployed,Divorced,No,Yes,Other,No,0.0
ZJJESCJM29,59.0,126195.0,82958.0,392.0,56.0,1.0,23.45,36.0,0.21,Master's,Full-time,Single,No,Yes,Education,Yes,0.0
F44IDQEQCZ,49.0,94288.0,27967.0,798.0,70.0,4.0,22.78,36.0,0.22,Bachelor's,Full-time,Single,Yes,No,Other,No,0.0
SPX34GKQ49,48.0,85696.0,142248.0,667.0,66.0,2.0,7.21,48.0,0.33,Master's,Full-time,Married,No,No,Home,No,0.0
K00U8EI7Z0,26.0,56890.0,214925.0,450.0,87.0,2.0,19.29,60.0,0.72,Bachelor's,Unemployed,Married,Yes,No,Other,No,0.0
DQ9P9TQUCG,46.0,127893.0,152503.0,812.0,68.0,4.0,12.17,36.0,0.48,Bachelor's,Unemployed,Single,Yes,Yes,Home,No,1.0
CAPY627JOU,25.0,69913.0,66009.0,646.0,29.0,3.0,14.91,24.0,0.36,High School,Unemployed,Divorced,No,No,Business,Yes,0.0
KXHA0MTV5D,21.0,77478.0,144352.0,490.0,59.0,4.0,18.19,36.0,0.37,High School,Self-employed,Single,No,Yes,Auto,No,0.0
0ZIL89DDH9,32.0,127405.0,187922.0,533.0,62.0,1.0,2.67,12.0,0.79,High School,Full-time,Divorced,No,Yes,Business,Yes,0.0
OUX3884WW9,22.0,64946.0,45164.0,532.0,9.0,1.0,13.85,60.0,0.28,Master's,Unemployed,Divorced,No,Yes,Other,Yes,0.0
4K2VTEEHKH,33.0,80975.0,218624.0,347.0,102.0,2.0,11.14,48.0,0.88,Master's,Full-time,Divorced,Yes,No,Education,Yes,0.0
2F0WKASCMF,36.0,96142.0,14689.0,365.0,47.0,4.0,16.42,24.0,0.6,Bachelor's,Part-time,Single,No,Yes,Auto,No,1.0
FBMK0X7T1U,50.0,119460.0,218605.0,586.0,108.0,3.0,20.55,60.0,0.57,PhD,Full-time,Divorced,No,No,Business,No,0.0
854GX6TGJ2,33.0,44959.0,14790.0,509.0,118.0,3.0,14.96,24.0,0.38,PhD,Full-time,Single,No,No,Business,No,0.0
H0NO8U3F0W,26.0,90923.0,52951.0,519.0,75.0,3.0,20.81,48.0,0.32,Bachelor's,Self-employed,Married,Yes,No,Other,No,0.0
R5M6TAOSTN,45.0,147909.0,166618.0,818.0,17.0,4.0,2.69,24.0,0.75,PhD,Full-time,Single,No,No,Other,Yes,0.0
BD2GS5EGZX,20.0,24735.0,147890.0,449.0,22.0,1.0,24.02,48.0,0.5,Bachelor's,Self-employed,Divorced,No,No,Auto,No,1.0
QEUB0ZRTLA,29.0,147569.0,83625.0,308.0,11.0,1.0,14.12,36.0,0.43,High School,Unemployed,Single,Yes,Yes,Auto,No,0.0
GPRWOFP5CF,18.0,88485.0,148037.0,652.0,66.0,3.0,9.45,24.0,0.53,High School,Part-time,Divorced,No,No,Other,No,1.0
BYV329OXGO,63.0,34828.0,75379.0,656.0,72.0,3.0,4.42,24.0,0.49,Bachelor's,Full-time,Married,Yes,Yes,Education,Yes,0.0
92RPK2EVDX,43.0,127541.0,162028.0,500.0,95.0,2.0,18.73,60.0,0.22,Master's,Self-employed,Divorced,Yes,No,Education,Yes,1.0
VZF2BMIDZI,43.0,66441.0,131098.0,378.0,22.0,4.0,19.44,24.0,0.48,Bachelor's,Part-time,Divorced,Yes,No,Home,Yes,1.0
F2L9A25EDP,53.0,36304.0,159825.0,337.0,37.0,2.0,16.02,60.0,0.78,High School,Full-time,Divorced,Yes,Yes,Home,No,0.0
9BTUUHMOZJ,49.0,142133.0,176480.0,307.0,81.0,3.0,19.75,36.0,0.2,PhD,Unemployed,Divorced,Yes,Yes,Education,No,0.0
ZI1YJITD12,26.0,26682.0,249772.0,479.0,100.0,4.0,3.73,60.0,0.55,Bachelor's,Part-time,Divorced,No,No,Auto,Yes,0.0
ZFSPU81FL8,62.0,133220.0,137032.0,789.0,6.0,3.0,5.44,12.0,0.14,Bachelor's,Full-time,Single,No,Yes,Auto,Yes,0.0
EHWWHHB99E,31.0,68604.0,28618.0,797.0,93.0,3.0,5.26,12.0,0.75,Bachelor's,Full-time,Married,Yes,Yes,Business,Yes,0.0
6R48J2UDNM,64.0,147508.0,134542.0,465.0,24.0,3.0,23.33,12.0,0.75,Master's,Unemployed,Single,Yes,No,Home,No,0.0
NIQBU0QAZV,36.0,105171.0,129874.0,831.0,64.0,2.0,14.31,24.0,0.67,Bachelor's,Unemployed,Single,Yes,No,Other,Yes,0.0
10M2YLJBOH,27.0,86741.0,31387.0,737.0,23.0,2.0,20.91,48.0,0.84,High School,Part-time,Single,Yes,No,Home,No,1.0
JHKKYJ2YWX,65.0,113621.0,143771.0,750.0,59.0,2.0,20.02,24.0,0.73,PhD,Full-time,Married,No,No,Home,No,1.0
L5KD6WJR4U,37.0,42991.0,94337.0,848.0,94.0,3.0,18.42,60.0,0.85,Master's,Unemployed,Married,Yes,Yes,Home,Yes,0.0
BZB5XHSD0L,19.0,30220.0,203712.0,695.0,83.0,4.0,6.34,36.0,0.36,High School,Unemployed,Married,No,No,Education,Yes,0.0
PE65ZK5PHH,41.0,107287.0,246613.0,626.0,31.0,3.0,18.56,12.0,0.62,High School,Self-employed,Divorced,Yes,Yes,Auto,Yes,1.0
M70HOXE3UG,50.0,52823.0,28367.0,466.0,34.0,3.0,12.18,48.0,0.29,PhD,Full-time,Single,Yes,Yes,Home,Yes,0.0
IAX15O10QS,53.0,47731.0,69430.0,534.0,0.0,3.0,4.17,60.0,0.22,Master's,Full-time,Divorced,No,No,Education,Yes,0.0
8Z7AB5YKHH,25.0,103975.0,81802.0,604.0,91.0,2.0,17.84,48.0,0.28,Bachelor's,Part-time,Married,No,No,Auto,No,0.0
RJTJLPTDNA,62.0,117221.0,154359.0,394.0,60.0,1.0,12.97,36.0,0.79,Bachelor's,Full-time,Single,No,No,Home,No,0.0
R913UIDX4R,27.0,118393.0,172812.0,506.0,53.0,1.0,9.29,48.0,0.68,High School,Self-employed,Married,Yes,Yes,Other,No,0.0
2UIFHYBERT,28.0,82343.0,155759.0,575.0,9.0,1.0,19.01,24.0,0.42,PhD,Part-time,Married,No,No,Home,Yes,1.0
130EQG0B5U,53.0,136878.0,76629.0,806.0,64.0,4.0,24.73,36.0,0.11,Bachelor's,Part-time,Divorced,Yes,Yes,Auto,No,0.0
74RNJLHADA,36.0,68584.0,46436.0,310.0,82.0,2.0,21.17,24.0,0.63,Master's,Part-time,Divorced,Yes,Yes,Auto,No,0.0
QNSG626IOT,44.0,24161.0,33009.0,444.0,22.0,2.0,20.63,36.0,0.29,High School,Self-employed,Divorced,Yes,Yes,Auto,No,1.0
OZ5UM30BUG,19.0,32941.0,211987.0,829.0,16.0,3.0,17.02,60.0,0.87,Bachelor's,Full-time,Single,Yes,Yes,Auto,Yes,1.0
C5Y5ZDQHHL,43.0,68643.0,209619.0,460.0,2.0,2.0,2.75,24.0,0.85,High School,Unemployed,Divorced,No,No,Home,Yes,0.0
N4NEF67T5O,32.0,64574.0,100868.0,574.0,55.0,4.0,23.79,48.0,0.49,PhD,Self-employed,Divorced,Yes,Yes,Home,Yes,0.0
YC9W1OWT90,64.0,18541.0,137956.0,836.0,6.0,1.0,21.61,36.0,0.64,Master's,Unemployed,Married,No,No,Other,Yes,1.0
RXZRAW31CW,23.0,57476.0,159910.0,342.0,14.0,4.0,18.21,24.0,0.82,Bachelor's,Self-employed,Single,No,Yes,Education,No,1.0
XFLOXXAB8Q,27.0,19121.0,27405.0,315.0,96.0,2.0,3.57,12.0,0.35,High School,Part-time,Divorced,Yes,No,Auto,No,0.0
SAJBU2CUIW,24.0,96389.0,18089.0,426.0,101.0,1.0,12.04,24.0,0.73,PhD,Full-time,Single,Yes,Yes,Other,Yes,1.0
154MFX46OJ,63.0,16549.0,44544.0,780.0,93.0,4.0,17.19,24.0,0.52,High School,Self-employed,Married,No,Yes,Business,No,0.0
LIXXLHNW0E,62.0,144034.0,90907.0,786.0,81.0,4.0,14.98,60.0,0.48,Bachelor's,Full-time,Married,No,No,Business,No,0.0
7Z78ASSLZA,35.0,27777.0,57824.0,610.0,17.0,3.0,13.94,12.0,0.11,Master's,Full-time,Divorced,No,No,Auto,No,0.0
QYLC0VYTHN,56.0,24547.0,8628.0,527.0,27.0,4.0,5.54,24.0,0.78,PhD,Self-employed,Single,No,No,Home,Yes,0.0
R9WPBTGMXD,37.0,94956.0,130926.0,564.0,14.0,4.0,15.08,24.0,0.18,Bachelor's,Self-employed,Single,No,No,Business,Yes,1.0
UTL811CEJW,48.0,116017.0,170938.0,325.0,69.0,4.0,11.58,36.0,0.62,Bachelor's,Part-time,Married,No,No,Business,Yes,0.0
30FQOMR16U,69.0,55141.0,132564.0,348.0,37.0,2.0,8.34,60.0,0.15,High School,Self-employed,Single,No,Yes,Auto,No,0.0
0ZKPJ2EU1R,48.0,142475.0,149590.0,666.0,16.0,1.0,17.08,12.0,0.49,Bachelor's,Self-employed,Single,No,No,Home,Yes,1.0
9IU469V1KW,64.0,98429.0,113571.0,805.0,1.0,3.0,20.76,36.0,0.4,PhD,Self-employed,Divorced,No,No,Home,No,0.0
4KO8U5O0FV,33.0,115790.0,236295.0,483.0,43.0,2.0,16.49,36.0,0.79,Master's,Self-employed,Single,No,No,Business,Yes,0.0
1K3ICKQK6A,28.0,29162.0,141366.0,545.0,30.0,1.0,20.26,48.0,0.74,High School,Full-time,Single,No,Yes,Home,No,0.0
EACJ8A64TG,35.0,60826.0,192127.0,695.0,25.0,3.0,13.82,36.0,0.53,High School,Full-time,Divorced,Yes,No,Business,Yes,0.0
Z92ZDOXJIX,64.0,75268.0,109960.0,320.0,25.0,2.0,9.86,48.0,0.71,Master's,Part-time,Married,Yes,Yes,Education,No,1.0
A2YI4E8ZDX,45.0,77691.0,103670.0,645.0,119.0,1.0,23.62,60.0,0.2,Bachelor's,Part-time,Divorced,Yes,Yes,Other,Yes,1.0
YFZR7H7W30,67.0,131408.0,136149.0,660.0,99.0,3.0,22.66,60.0,0.47,Master's,Self-employed,Married,No,No,Auto,Yes,0.0
JVNHNJBDR5,58.0,117812.0,239236.0,804.0,15.0,2.0,19.4,24.0,0.53,Master's,Self-employed,Divorced,Yes,No,Business,Yes,1.0
K5DLTJV0Z9,48.0,116943.0,30438.0,489.0,42.0,1.0,22.09,48.0,0.62,PhD,Full-time,Single,No,No,Business,No,0.0
QPPU3DYUP0,18.0,65953.0,41344.0,571.0,28.0,2.0,18.82,12.0,0.4,High School,Part-time,Single,Yes,Yes,Home,No,1.0
KYMX4ECJZ5,30.0,105201.0,196382.0,670.0,4.0,2.0,19.74,24.0,0.55,Bachelor's,Self-employed,Single,No,No,Business,Yes,0.0
TDXFQ8NO2S,29.0,91948.0,135899.0,557.0,114.0,1.0,3.88,24.0,0.78,Bachelor's,Part-time,Single,Yes,Yes,Other,Yes,1.0
X8LX1PKU13,66.0,41556.0,233508.0,414.0,23.0,3.0,4.2,60.0,0.66,High School,Self-employed,Divorced,No,Yes,Business,No,1.0
GGCI7OBYIQ,19.0,42401.0,157425.0,479.0,22.0,2.0,8.76,36.0,0.54,High School,Full-time,Married,No,Yes,Business,No,0.0
LVYFGMEE20,22.0,102596.0,60784.0,333.0,28.0,1.0,12.76,36.0,0.21,PhD,Self-employed,Single,Yes,No,Other,No,1.0
KX8IJ9X2A3,51.0,124819.0,97852.0,482.0,101.0,3.0,15.06,60.0,0.71,High School,Full-time,Single,Yes,No,Business,Yes,0.0
YC08XX4UFZ,49.0,22607.0,213084.0,593.0,10.0,4.0,18.91,36.0,0.55,Master's,Unemployed,Divorced,No,Yes,Education,No,1.0
NYRPJY7AHZ,43.0,62586.0,31624.0,764.0,51.0,3.0,22.76,12.0,0.64,Master's,Part-time,Married,No,No,Other,No,0.0
OTS2ZHYV8M,28.0,35938.0,54923.0,612.0,56.0,1.0,3.04,60.0,0.16,Master's,Unemployed,Married,No,No,Auto,Yes,0.0
6B2OEJ2RDU,47.0,72168.0,161914.0,517.0,42.0,1.0,15.27,24.0,0.27,Bachelor's,Part-time,Married,No,Yes,Business,No,1.0
0609AFEPKE,18.0,59829.0,194083.0,592.0,41.0,3.0,21.73,12.0,0.24,Master's,Self-employed,Married,No,No,Business,Yes,0.0
EW3SUY0EXV,46.0,106670.0,172786.0,348.0,19.0,3.0,6.54,60.0,0.3,High School,Full-time,Married,No,No,Business,Yes,0.0
GGGJC8FRS9,59.0,59810.0,81802.0,471.0,25.0,4.0,4.44,36.0,0.75,Master's,Self-employed,Single,Yes,No,Business,No,0.0
N1O9N4HBTX,41.0,84780.0,119685.0,762.0,0.0,2.0,6.75,48.0,0.44,Bachelor's,Part-time,Single,Yes,No,Other,No,1.0
COE9YMP06K,27.0,103773.0,28656.0,490.0,25.0,2.0,12.72,12.0,0.41,High School,Part-time,Single,Yes,Yes,Education,Yes,0.0
